Handles of Government Officials
@willynyamitwe
@rochkaborepf
@mohzambia
@hawelti
@hagegeingob
@edmnangagwa
@angola_Mirex
@USEmbalo
@TZSpokesperson
@SudanPMHamdok
@StateHouseKenya
@SouthSudanGov
@President_GN
@PresidentBio
@PresidentABO
@Presidency_GMB
@PresidencyZA
@PresidenciaCV
@Presidence_RDC
@PresidenceMali
@PresidenceBenin
@PaulKagame
@NAkufoAddo
@MinSantedj
@MalawiGovt
@Macky_Sall
@M_Farmaajo
@MSPS_Togo
@MBuhari
@KagutaMuseveni
@IssoufouMhm
@FinanceSC
@EswatiniGovern1
@Cherif_MZ
@CheikhGhazouani
@AOuattara_PRCI
